"y1","y2","y3","elev","length","forest","ivel1","ivel2","ivel3","date1","date2","date3"
0,0,0,-1.173,0.801,-1.156,-0.506,-0.506,-0.506,-1.761,0.31,1.381
0,0,0,-1.127,0.115,-0.501,-0.934,-0.991,-1.162,-2.904,-1.047,0.596
3,2,1,-0.198,-0.479,-0.101,-1.136,-1.339,-1.61,-1.69,-0.476,1.453
0,0,0,-0.105,0.315,0.008,-0.819,-0.927,-1.197,-2.19,-0.69,1.239
3,0,3,-1.034,-1.102,-1.193,0.638,0.88,1.042,-1.833,0.167,1.381
0,0,0,-0.848,0.741,0.917,-1.329,-1.042,-0.899,-2.619,0.167,1.381
0,0,0,-0.91,0.115,-1.083,-1.448,-1.562,-1.676,-2.69,-1.19,1.596
0,0,0,-1.003,-1.007,-0.792,-0.321,-0.557,-0.636,-2.119,-0.476,1.453
0,0,0,-0.058,-0.913,0.553,-0.231,-0.231,-0.001,-2.047,-0.547,1.167
0,0,0,-0.631,1.556,0.808,-1.097,-1.021,-0.832,-2.333,-1.119,-0.261
0,0,0,0.066,-1.626,1.79,-0.224,0.058,-0.224,-1.69,0.453,1.453
NA,NA,NA,-0.709,1.647,-0.72,NA,NA,NA,-1.047,0.739,2.596
0,0,0,-1.111,-0.399,-0.647,0.417,0.284,0.549,-1.833,-0.333,1.953
0,0,0,-0.26,0.685,0.844,-1.354,-1.014,-1.159,-0.904,1.096,1.239
0,0,0,-0.647,0.801,-0.32,-1.117,-0.224,-0.788,-2.547,-0.261,1.31
0,0,0,0.189,0.741,-0.101,-0.278,-0.182,0.009,-1.333,0.31,1.524
0,0,0,0.143,-0.322,1.135,-0.483,-0.884,-0.819,-1.833,-1.047,0.524
1,0,1,-1.235,0.801,0.372,-1.07,-1.258,-1.211,-2.333,-0.976,2.31
0,0,0,-0.972,1.175,-0.138,-1.115,-0.735,-0.482,-2.404,-0.833,0.667
1,1,1,-1.219,-0.245,-0.974,-0.862,-1.115,-0.988,-1.333,-0.261,1.524
0,0,0,0.313,-1.007,1.572,-0.242,-0.242,-0.399,0.024,1.524,3.239
0,0,0,-1.003,0.503,0.081,-0.462,-0.615,-0.462,-1.69,-0.261,1.596
0,0,0,0.019,-0.734,-0.611,-0.358,-0.212,0.735,-1.976,-0.476,1.239
0,0,0,0.484,0.381,0.699,0.417,0.682,0.639,-0.476,0.596,1.667
0,0,0,-0.399,-0.479,-1.047,-0.458,-1.542,-1.434,-2.404,-0.976,0.524
10,12,7,-0.863,-1.301,-1.156,1.866,1.883,0.923,-2.619,-0.547,0.524
0,0,0,-0.987,-0.563,-0.283,-0.264,0.568,-0.264,-2.761,-0.619,0.881
0,0,0,-0.554,0.252,0.772,0.427,0.702,0.482,-1.19,0.453,2.596
0,0,0,0.066,0.444,1.135,-0.42,-0.264,-0.108,-0.619,0.524,2.31
0,0,0,0.004,0.115,0.299,0.952,1.409,1.237,-1.047,0.453,2.096
0,0,1,-0.693,0.801,0.19,0.904,0.913,1.054,-2.19,-0.619,0.31
1,1,0,-0.925,0.185,-1.083,-1.697,-1.753,-1.585,-2.904,-0.976,1.453
0,0,0,-1.065,0.381,-1.156,-1.067,-1.543,-1.437,-1.761,-0.547,-0.404
0,0,0,0.143,0.444,0.626,-0.837,-0.472,-0.639,-1.333,-0.261,1.31
0,0,0,-0.383,-0.563,0.117,0.568,0.152,0.152,-2.119,-0.119,0.596
0,0,0,-1.034,-0.647,0.517,0.223,-0.63,-0.203,-0.761,-0.19,0.596
0,0,NA,1.01,0.252,-0.72,0.977,0.042,NA,1.096,2.881,NA
0,0,0,1.18,0.115,0.99,0.952,1.123,1.18,0.453,1.381,2.167
0,0,0,-0.136,-1.102,1.717,0.395,-0.01,0.152,-2.119,-0.261,1.596
0,0,NA,1.289,-0.168,-1.265,0.338,0.586,NA,1.596,2.096,NA
1,0,0,-0.6,0.857,-1.083,-0.727,-1.097,-1.004,-2.19,-1.261,1.096
0,0,0,0.855,-1.102,0.844,-0.819,-0.738,-0.981,-0.476,1.31,1.953
0,0,0,-0.089,-1.406,2.299,0.24,0.24,0.682,-1.833,-0.761,0.596
0,0,0,-0.863,-0.734,-0.065,-0.139,-0.139,0.298,-2.333,-0.619,1.453
0,0,0,-0.91,1.944,0.663,-1.508,-1.644,-1.474,-1.833,-0.833,0.596
0,0,0,1.025,1.175,-0.647,-0.101,-0.228,-0.101,0.096,0.667,1.596
0,0,0,-0.383,0.626,-0.683,-0.539,-0.688,-0.737,-1.833,-1.047,0.596
0,0,0,-0.987,-0.479,0.917,0.897,0.491,0.491,-1.904,-0.261,2.596
0,0,1,-1.173,0.741,-1.193,-0.374,-0.469,-0.66,-1.833,-0.119,2.167
0,0,0,0.344,0.503,0.626,-0.308,-0.308,-0.308,-1.976,-0.404,1.596
0,0,0,-0.445,1.175,0.844,-1.199,-0.904,-1.157,-2.119,-0.619,0.524
0,1,0,0.437,0.626,0.553,-0.984,-0.589,-0.836,-2.19,-0.547,1.524
0,0,NA,1.041,-0.322,-0.829,-0.042,-0.237,NA,-0.547,0.81,NA
0,0,0,0.375,-1.007,-0.21,0.073,0.546,0.231,-2.619,-0.833,0.596
0,0,0,-0.894,-0.025,-0.683,-1.097,-1.216,-1.037,-1.69,-1.19,-0.547
0,0,0,-0.972,-1.514,1.754,0.334,0.425,0.789,-2.333,-0.261,0.524
0,0,0,-0.662,-0.734,1.608,0.662,0.735,0.516,-2.404,-1.333,0.381
0,0,0,0.948,0.503,0.59,-0.206,0.101,-0.001,-0.476,1.096,1.667
0,0,0,-0.77,0.741,-0.974,-1.568,-1.52,-1.615,-2.69,-0.761,0.381
0,0,0,-0.291,-0.563,0.372,0.568,0.568,0.568,-2.904,-1.047,0.096
2,1,0,-1.018,0.857,-1.083,-1.097,-1.051,-1.189,-2.404,-1.261,0.453
0,0,0,-0.647,-0.095,1.063,-0.394,-0.394,-0.212,-1.976,-0.976,-0.476
0,0,0,-1.25,2.255,-0.756,-1.212,-1.274,-1.491,-2.404,0.096,1.667
0,0,NA,2.372,-3.336,-1.265,0.919,0.459,NA,2.667,3.239,NA
0,0,1,-0.817,0.115,-1.265,-0.019,-0.362,-0.819,-2.261,-0.619,0.167
0,0,0,-0.801,0.252,-0.174,-0.123,0.207,0.702,-2.333,-0.261,0.667
0,0,0,-0.693,1.175,-0.647,-0.735,-0.228,-0.228,-2.404,-0.976,1.024
0,0,0,-1.111,-0.245,1.099,-0.672,-0.672,-0.672,-2.404,-0.619,-0.19
NA,NA,NA,-1.266,0.965,-0.174,-0.476,-0.61,-0.52,-2.547,-1.19,0.596
4,4,4,-1.436,-0.563,-1.265,0.429,0.984,0.984,-1.833,-0.261,0.667
0,0,NA,1.18,0.115,-1.083,0.666,0.666,NA,1.596,2.667,NA
0,0,NA,1.923,-0.647,-1.265,-0.417,-0.985,NA,2.453,3.024,NA
0,0,0,0.22,0.566,1.135,-0.803,-0.903,-0.903,-1.904,-0.976,0.81
0,0,0,-0.6,0.315,-0.974,-0.172,-0.172,0.152,-1.976,-0.476,1.31
0,0,0,-1.096,1.86,1.463,-0.785,-0.889,-1.097,-2.047,-0.547,0.596
0,0,0,-1.188,1.273,1.208,-0.792,-0.669,-0.546,-2.261,-0.261,1.524
0,0,0,1.18,-0.734,1.354,-0.795,-1.014,-0.722,0.739,1.739,2.881
0,0,0,0.607,0.252,2.19,0.647,0.592,0.207,-1.833,-0.904,0.167
0,0,0,1.087,0.503,0.808,-0.308,0.305,-0.104,-0.261,1.596,2.596
0,0,0,0.174,-0.734,1.063,0.298,0.298,0.006,-2.19,0.453,1.453
0,0,0,0.251,-0.322,0.335,1.382,0.605,0.346,-1.833,-0.761,-0.119
0,0,0,-0.461,-0.095,0.335,-0.394,-0.212,-0.394,-2.904,-1.19,-0.476
0,0,0,-0.724,1.273,-0.029,-0.669,-0.546,-0.423,-2.69,-1.261,0.31
0,0,0,-0.848,0.315,-0.501,0.476,0.476,0.638,-2.404,-0.761,0.524
1,1,1,-1.127,-0.095,-0.429,-0.941,-0.941,-0.941,-1.833,-0.833,0.453
0,NA,NA,1.83,2.063,-1.229,-0.601,NA,NA,0.453,1.596,NA
0,0,0,0.731,0.045,0.299,0.735,0.56,0.035,-1.904,-0.833,0.596
0,0,0,1.35,-0.647,-0.174,1.076,0.863,1.076,0.524,1.31,1.667
0,0,0,-0.6,-0.095,-0.32,-0.212,0.334,-0.03,-2.404,-0.976,0.596
0,NA,NA,-0.693,0.444,-1.011,-1.513,NA,NA,-2.904,-0.904,1.096
1,0,0,-1.065,0.857,1.899,-0.958,-1.143,-0.264,-2.761,-1.404,0.024
0,0,0,-0.523,-0.095,0.517,0.516,0.759,0.82,-2.333,-0.547,1.381
0,0,0,-1.127,1.51,0.153,-0.692,-0.615,-0.615,-2.19,-0.547,1.096
0,0,0,-0.26,0.315,2.117,-0.172,0.368,-0.064,-2.404,-1.19,-0.261
0,0,0,0.422,-0.168,0.481,0.09,0.214,0.214,-0.19,1.167,1.667
0,0,0,-0.507,-1.406,-0.865,-0.731,-0.466,-0.554,-2.261,-1.69,0.381
0,0,0,0.097,0.801,1.39,0.481,0.199,0.622,-2.261,-0.833,0.167
0,0,0,-0.941,0.626,-0.829,-1.428,-1.132,-1.28,-1.904,-0.904,1.096
0,0,0,0.499,0.444,0.262,-0.004,0.256,0.672,-0.261,1.096,1.739
0,0,0,0.375,-0.025,-0.32,-0.443,-0.264,0.271,-0.976,-0.476,0.739
0,0,0,-0.616,-1.514,-0.792,-0.394,0.061,-0.394,-2.19,-1.19,0.524
0,1,0,-1.096,-0.322,-1.193,-0.366,-1.143,-1.273,-2.404,-0.904,-0.119
0,0,NA,1.397,-0.399,-0.72,-0.312,-0.047,NA,1.31,3.239,NA
0,0,0,1.304,0.566,0.699,0.152,0.152,-0.2,-0.761,1.381,3.167
0,0,0,0.886,0.381,1.426,0.417,0.735,-0.007,-0.261,0.381,1.596
0,0,0,0.7,-0.479,0.372,0.558,0.965,0.558,-0.404,0.453,1.524
0,0,0,-0.832,0.626,0.954,-0.194,-0.293,-0.144,-2.333,-0.833,0.667
1,1,0,-1.003,0.381,-0.065,-0.431,-0.166,-0.219,-2.547,-1.619,0.524
0,0,0,-0.801,-1.199,0.699,-0.348,0.035,-0.098,-1.976,-0.547,0.596
0,0,0,0.282,-1.199,1.245,0.984,0.984,0.984,-0.833,0.524,1.667
0,0,0,0.174,1.224,0.444,-1.014,-1.055,-1.014,-1.619,-1.119,1.596
0,0,0,-0.786,0.965,-1.083,-1.148,-1.058,-1.148,-1.19,-0.976,0.096
1,1,1,-1.08,1.556,0.044,-0.605,-0.264,-0.491,-2.333,-0.261,1.096
0,0,0,1.273,-0.095,0.917,0.88,1.245,1.245,1.239,1.596,1.953
0,0,0,-0.585,-1.406,1.354,-0.554,-0.025,0.24,-1.976,-0.19,0.524
0,0,0,-0.26,-0.245,-0.21,-0.355,-0.482,-0.608,-2.333,-0.547,1.453
0,1,0,-0.77,0.444,-1.011,-0.524,-0.472,-0.837,-1.976,-0.547,0.596
NA,NA,NA,-1.065,-0.479,-1.011,0.355,0.694,1.033,-2.333,-0.904,0.667
0,0,0,-1.204,-0.479,-0.792,-0.729,-0.729,-0.322,-2.333,-0.976,0.667
0,0,0,-1.328,1.818,-1.193,-1.393,-1.498,-1.217,-2.333,-1.047,0.596
0,0,0,0.344,0.315,-0.683,-0.01,-0.01,0.152,-0.333,2.667,2.739
0,0,0,-0.91,-0.734,0.99,0.006,0.443,0.37,-2.333,-0.833,0.596
1,1,0,-1.157,1.273,-0.938,-0.997,-0.505,-0.423,-1.833,-0.261,0.667
4,4,0,-1.188,1.416,0.081,-1.108,-0.872,-0.99,-2.333,-0.404,0.667
0,0,0,-1.034,0.503,1.317,-0.513,-0.666,-0.615,-2.547,-0.547,0.167
0,0,0,1.165,-0.095,0.226,1.973,1.791,1.609,2.167,3.096,3.524
0,0,NA,0.592,-1.738,-0.574,3.066,3.066,NA,1.881,3.024,NA
0,0,0,-0.739,1.07,-0.392,-0.413,-0.283,0.108,-2.547,-1.19,0.881
0,0,0,-1.142,0.965,-0.902,-0.834,-0.655,-0.852,-2.69,-0.547,-0.261
0,0,0,-1.08,0.741,-1.265,-1.377,-1.377,-1.424,-1.976,0.31,0.81
1,1,1,-1.065,0.801,1.281,-0.647,0.058,0.246,-2.69,-0.833,0.881
0,0,0,1.041,0.626,0.372,-0.984,-0.539,-0.539,1.096,1.596,2.096
3,1,1,-1.065,-0.563,-0.611,-0.681,-1.027,-0.819,-2.761,-1.333,1.381
0,0,0,-1.08,0.965,-0.538,-1.148,-1.148,-1.148,-2.761,-1.047,0.524
0,0,0,-1.142,0.045,-1.156,-1.014,-0.664,-0.664,-2.404,-0.904,1.096
0,0,0,-0.554,0.741,-0.538,0.104,0.104,0.582,-1.976,-0.619,1.31
2,2,0,-0.786,-0.479,0.044,1.168,1.507,1.101,-2.261,-1.19,0.524
1,1,0,-0.879,0.315,-0.574,-1.122,-0.334,-0.161,-2.547,-0.547,0.739
0,0,0,0.809,-1.102,0.008,0.557,0.314,0.88,0.596,1.524,1.667
0,0,0,-0.43,1.224,1.899,-1.097,-0.889,-0.847,-2.69,-0.19,0.81
0,0,0,0.112,0.566,0.59,-0.652,-0.652,-0.652,-0.904,-0.476,0.524
1,0,1,-0.414,-0.563,-0.501,0.568,0.984,2.649,-1.119,-0.119,1.524
0,0,0,-0.987,0.741,-0.865,-0.469,-0.182,-0.182,-2.404,-0.19,2.024
0,0,0,-1.127,-0.168,-0.21,-1.088,-0.716,-0.902,-2.333,-0.619,0.881
0,0,0,-1.096,-0.025,0.735,-0.086,-0.026,0.509,-2.833,-0.976,0.739
NA,NA,NA,-1.096,1.322,0.699,NA,NA,NA,-2.333,-0.476,0.667
0,0,NA,1.087,1.175,-0.101,-0.735,-0.482,NA,0.739,2.167,NA
0,0,0,0.344,-0.322,-0.101,-0.042,-0.042,0.152,-1.047,-0.476,1.096
2,1,0,-1.096,0.185,-1.156,-1.249,-1.417,-1.361,-1.976,-0.547,0.596
0,0,NA,-0.538,0.045,0.844,-0.373,-0.314,NA,-0.761,0.096,1.31
0,0,0,1.196,-0.399,0.044,1.013,1.145,1.278,1.167,2.167,3.167
0,0,0,0.747,0.045,1.863,-0.081,-0.373,-0.442,-0.19,1.31,2.167
0,0,0,0.05,-0.245,1.463,0.342,0.215,0.659,-2.69,-0.547,1.453
4,3,3,-1.235,0.566,-0.429,-0.451,-0.551,-0.551,-1.904,-0.619,0.596
0,0,NA,1.025,-0.913,-1.265,1.225,1.225,NA,0.739,2.453,NA
0,0,0,-0.352,1.175,1.317,-0.862,-0.862,-1.115,-2.547,-0.261,2.167
0,0,0,-0.461,1.07,1.245,-1.196,-0.935,-1.153,-2.333,-1.047,0.667
0,2,0,-1.08,-0.245,-1.047,-0.482,-0.101,-0.101,-1.833,-0.476,0.667
0,0,0,-0.972,-0.025,1.172,0.806,0.806,0.806,-1.761,-1.119,-0.261
0,0,0,-0.972,-0.025,1.172,0.806,0.806,0.806,-1.761,-1.119,-0.261
0,0,0,-1.297,0.045,0.262,0.735,0.851,1.201,-2.404,-0.833,1.596
0,0,0,-0.972,0.381,1.354,-0.06,-0.06,0.099,-2.404,-0.833,1.167
0,0,0,0.22,-1.007,1.608,0.467,0.073,-0.084,-0.547,1.239,1.739
0,0,0,-1.421,1.371,0.444,-1.485,-1.245,-1.325,-2.761,-1.761,-0.119
0,0,0,1.289,-0.647,-0.32,1.502,1.502,1.076,0.953,2.381,3.81
0,0,0,-0.074,-0.025,0.772,-0.264,-0.264,-0.383,-2.333,-0.404,0.596
0,0,NA,1.134,-0.399,-0.611,0.615,0.615,NA,-0.404,1.596,NA
0,0,0,0.7,-1.857,-0.065,3.066,3.267,2.965,0.096,1.596,3.381
0,0,0,0.561,-1.406,-0.501,-0.113,-0.378,-0.554,-0.476,0.596,1.739
0,0,0,0.251,-0.734,0.153,2.119,1.609,1.609,-0.547,-0.261,0.596
0,0,0,0.004,0.381,1.245,0.099,0.099,0.258,-1.69,-0.619,0.381
0,0,0,-0.538,0.685,0.262,0.152,0.298,0.103,-2.333,0.167,1.31
0,0,0,-0.987,0.566,2.299,-0.35,-0.652,-0.602,-1.619,-0.261,0.596
0,0,0,0.36,-1.199,0.626,0.318,0.318,0.735,-2.119,-0.547,0.453
0,0,0,0.22,-0.399,2.008,-0.51,0.086,-0.179,-2.19,-0.619,-0.261
0,0,0,-0.445,-0.647,0.553,0.436,0.01,0.436,-2.261,-0.476,1.453
3,3,3,-0.925,-0.025,0.699,-0.086,-0.264,-0.443,-2.69,-1.69,-0.619
1,1,1,-1.049,0.115,-0.938,-0.362,-0.362,-0.362,-1.619,-1.047,-0.833
0,0,0,0.066,0.045,0.59,0.502,0.385,0.385,-1.904,0.096,1.881
0,0,0,-0.724,0.185,0.008,0.768,0.6,1.105,-2.904,-0.261,0.453
0,0,0,0.994,-0.913,0.808,2.759,1.379,1.839,0.524,2.167,2.596
2,1,2,-1.018,0.566,-0.611,-0.451,-0.2,-0.099,-2.333,-1.047,-0.547
0,0,NA,1.103,-0.245,-0.829,1.102,0.912,NA,1.596,3.024,NA
0,0,0,0.731,-1.301,-0.029,0.066,-0.019,-0.448,-0.619,0.667,2.096
0,0,0,0.329,-0.647,1.208,1.289,1.289,1.502,-1.047,-0.261,0.453
0,0,0,0.329,-0.168,1.026,0.028,-0.902,-0.282,-0.976,1.381,2.596
0,0,0,0.174,-0.322,0.481,0.994,1.123,1.123,-1.833,-0.619,0.096
0,0,0,0.979,-1.199,-0.065,1.734,1.234,1.234,-0.476,0.524,3.381
0,0,0,-0.074,0.045,2.008,0.443,0.268,0.56,-2.904,-1.047,0.096
0,1,0,-1.08,0.685,-0.065,-0.139,0.152,-0.431,-2.904,-1.619,-0.404
0,0,0,-0.213,-0.734,0.081,0.735,0.735,0.516,-1.833,-0.404,0.667
1,1,1,-1.188,-1.301,-0.974,-0.448,0.323,-0.448,-1.833,-0.261,1.953
0,0,0,1.32,-0.168,0.044,0.4,1.268,1.144,-0.047,1.667,2.953
0,0,0,1.087,-0.245,1.135,0.659,0.532,0.279,-0.69,0.881,1.739
0,0,0,-0.352,-0.647,0.772,1.147,0.507,1.289,-1.619,-1.047,-0.476
1,1,1,-1.127,0.626,-1.265,-0.194,-0.095,0.053,-2.19,-1.19,0.81
0,0,0,-0.352,0.045,0.226,0.21,0.385,0.735,-2.904,-0.547,0.596
0,0,0,-0.167,2.14,1.026,-0.745,-0.488,-0.328,-2.119,0.024,1.739
0,0,NA,1.242,0.381,-1.265,-0.272,-0.855,NA,1.739,2.31,NA
0,1,1,0.267,-0.168,0.008,-0.344,-0.282,-0.282,-1.833,0.096,1.596
0,0,0,-0.987,1.465,-0.756,-0.897,-1.208,-0.936,-1.833,-0.19,0.667
1,2,2,-1.173,1.322,-1.229,-0.819,-1.305,-1.062,-2.19,-0.904,0.524
2,0,0,0.375,-0.822,-0.283,1.422,1.497,1.557,-1.119,-0.119,1.31
1,0,NA,1.645,1.017,-1.265,-0.643,-0.908,NA,0.667,1.667,NA
0,0,NA,1.242,-0.647,-1.047,2.355,2.355,NA,0.667,1.881,NA
0,0,NA,1.784,-0.913,-1.265,1.379,0.919,NA,0.667,1.596,NA
0,0,NA,1.35,-0.822,-1.229,-0.072,-0.072,NA,0.596,1.096,NA
0,0,0,0.004,-0.563,0.844,1.193,1.262,1.331,-1.976,-0.904,0.381
0,0,NA,1.289,-0.399,-0.938,1.609,1.344,NA,1.596,2.596,NA
0,0,NA,1.614,-0.245,-0.756,-0.291,0.025,NA,1.667,2.239,NA
0,0,NA,1.753,-0.479,-1.193,1.982,2.185,NA,2.381,2.881,NA
0,0,0,1.567,1.122,-0.174,0.323,0.323,0.323,0.667,1.453,2.453
1,0,1,0.917,1.902,2.117,-1.356,-1.048,-1.528,-0.19,0.596,1.31
0,0,0,1.01,0.965,1.717,0.107,-0.117,0.017,0.453,1.31,1.453
0,0,0,1.072,0.801,1.681,-0.036,0.058,0.105,0.381,0.524,1.381
0,0,0,1.025,-0.245,1.717,1.039,1.039,1.039,0.096,1.024,2.024
0,0,NA,1.923,0.252,-1.265,0.493,0.427,NA,1.453,2.453,NA
0,0,0,0.994,-0.168,1.245,1.28,0.908,0.747,-0.261,0.881,1.596
0,0,0,1.041,0.626,0.663,0.201,0.201,0.498,0.81,1.453,2.953
0,0,NA,1.66,-1.102,-1.265,2.094,2.094,NA,2.096,3.239,NA
0,0,NA,1.66,-0.647,-1.265,-0.203,-0.203,NA,0.453,2.881,NA
0,0,NA,1.97,-0.479,-1.265,1.71,1.71,NA,1.596,2.167,NA
0,0,NA,1.815,2.217,-1.265,-0.506,-0.882,NA,0.167,2.096,NA
0,0,NA,2.279,-3.158,-1.265,0.152,0.006,NA,2.381,3.453,NA
0,0,NA,2.434,0.185,-1.265,1.329,1.161,NA,2.31,2.524,NA
0,0,NA,1.97,0.626,-1.265,0.251,0.547,NA,2.096,3.096,NA
0,0,NA,1.196,0.185,-1.265,-0.913,-0.577,NA,0.596,1.453,NA
0,0,NA,1.505,-0.025,-1.265,0.092,0.092,NA,1.81,2.167,NA
0,0,NA,1.041,-1.199,-1.229,0.735,-0.348,NA,1.524,1.739,NA
0,0,NA,1.35,0.503,-1.265,-1.228,-0.615,NA,2.381,3.239,NA
0,0,NA,1.041,-4.406,-1.265,5.355,5.98,NA,1.381,1.81,NA
0,0,NA,1.35,-1.301,-0.72,0.066,0.323,NA,2.239,2.667,NA
0,0,NA,1.505,-4.945,-1.265,5.494,5.494,NA,2.096,2.667,NA
0,0,NA,1.35,-0.399,-1.265,-0.378,0.615,NA,1.167,2.167,NA
0,0,NA,1.196,0.252,-1.193,-0.618,-0.453,NA,0.667,1.596,NA
0,0,NA,1.196,0.185,-1.265,0.264,0.264,NA,1.167,3.167,NA
0,0,NA,1.66,-0.563,-1.265,-0.126,0.152,NA,0.667,2.667,NA
0,0,NA,1.66,-2.109,-1.265,3.713,3.713,NA,1.739,2.81,NA
0,0,NA,1.815,-1.857,-1.265,1.056,2.262,NA,1.81,3.31,NA
